county,precinct,office,district,party,candidate,votes
CHEROKEE,001 ALLENS,Governor,,REPUBLICAN,Oscar Fred Lovelace,56
CHEROKEE,001 ALLENS,Governor,,REPUBLICAN,Mark Sanford,147
CHEROKEE,002 ALMA MILL,Governor,,REPUBLICAN,Oscar Fred Lovelace,53
CHEROKEE,002 ALMA MILL,Governor,,REPUBLICAN,Mark Sanford,90
CHEROKEE,003 ANTIOCH/KINGS CK,Governor,,REPUBLICAN,Oscar Fred Lovelace,30
CHEROKEE,003 ANTIOCH/KINGS CK,Governor,,REPUBLICAN,Mark Sanford,42
CHEROKEE,004 ASHWORTH,Governor,,REPUBLICAN,Oscar Fred Lovelace,60
CHEROKEE,004 ASHWORTH,Governor,,REPUBLICAN,Mark Sanford,98
CHEROKEE,005 BLACKSBURG WARD 1,Governor,,REPUBLICAN,Oscar Fred Lovelace,15
CHEROKEE,005 BLACKSBURG WARD 1,Governor,,REPUBLICAN,Mark Sanford,28
CHEROKEE,006 BLACKSBURG WARD 2,Governor,,REPUBLICAN,Oscar Fred Lovelace,2
CHEROKEE,006 BLACKSBURG WARD 2,Governor,,REPUBLICAN,Mark Sanford,4
CHEROKEE,007 BLACKSBURG WARD 3,Governor,,REPUBLICAN,Oscar Fred Lovelace,5
CHEROKEE,007 BLACKSBURG WARD 3,Governor,,REPUBLICAN,Mark Sanford,34
CHEROKEE,008 BLACKSBURG WARD 4,Governor,,REPUBLICAN,Oscar Fred Lovelace,22
CHEROKEE,008 BLACKSBURG WARD 4,Governor,,REPUBLICAN,Mark Sanford,100
CHEROKEE,009 CENTRAL,Governor,,REPUBLICAN,Oscar Fred Lovelace,49
CHEROKEE,009 CENTRAL,Governor,,REPUBLICAN,Mark Sanford,76
CHEROKEE,010 DRAYTONVILLE,Governor,,REPUBLICAN,Oscar Fred Lovelace,68
CHEROKEE,010 DRAYTONVILLE,Governor,,REPUBLICAN,Mark Sanford,145
CHEROKEE,011 EZELLS/BUTLER,Governor,,REPUBLICAN,Oscar Fred Lovelace,20
CHEROKEE,011 EZELLS/BUTLER,Governor,,REPUBLICAN,Mark Sanford,74
CHEROKEE,012 GAFFNEY WARD 1,Governor,,REPUBLICAN,Oscar Fred Lovelace,17
CHEROKEE,012 GAFFNEY WARD 1,Governor,,REPUBLICAN,Mark Sanford,42
CHEROKEE,013 GAFFNEY WARD 2,Governor,,REPUBLICAN,Oscar Fred Lovelace,38
CHEROKEE,013 GAFFNEY WARD 2,Governor,,REPUBLICAN,Mark Sanford,66
CHEROKEE,014 GAFFNEY WARD 3,Governor,,REPUBLICAN,Oscar Fred Lovelace,30
CHEROKEE,014 GAFFNEY WARD 3,Governor,,REPUBLICAN,Mark Sanford,34
CHEROKEE,015 GAFFNEY WARD 4,Governor,,REPUBLICAN,Oscar Fred Lovelace,89
CHEROKEE,015 GAFFNEY WARD 4,Governor,,REPUBLICAN,Mark Sanford,141
CHEROKEE,016 GAFFNEY WARD 5,Governor,,REPUBLICAN,Oscar Fred Lovelace,48
CHEROKEE,016 GAFFNEY WARD 5,Governor,,REPUBLICAN,Mark Sanford,90
CHEROKEE,017 GAFFNEY WARD 6,Governor,,REPUBLICAN,Oscar Fred Lovelace,130
CHEROKEE,017 GAFFNEY WARD 6,Governor,,REPUBLICAN,Mark Sanford,197
CHEROKEE,018 GRASSY POND,Governor,,REPUBLICAN,Oscar Fred Lovelace,142
