county,precinct,office,district,party,candidate,votes
Sumter,REMBERT,PRESIDENT,,REP,Jeb Bush,6
Sumter,HORATIO,PRESIDENT,,REP,Jeb Bush,2
Sumter,HILLCREST,PRESIDENT,,REP,Jeb Bush,20
Sumter,OAKLAND PLANTATION 1,PRESIDENT,,REP,Jeb Bush,45
Sumter,DALZELL 1,PRESIDENT,,REP,Jeb Bush,24
Sumter,DALZELL 2,PRESIDENT,,REP,Jeb Bush,10
Sumter,OSWEGO,PRESIDENT,,REP,Jeb Bush,38
Sumter,MAYESVILLE,PRESIDENT,,REP,Jeb Bush,7
Sumter,SALEM,PRESIDENT,,REP,Jeb Bush,5
Sumter,OAKLAND PLANTATION 2,PRESIDENT,,REP,Jeb Bush,12
Sumter,MCCRAYS MILL 1,PRESIDENT,,REP,Jeb Bush,32
Sumter,ST.JOHN,PRESIDENT,,REP,Jeb Bush,18
Sumter,MAYEWOOD,PRESIDENT,,REP,Jeb Bush,32
Sumter,TURKEY CREEK,PRESIDENT,,REP,Jeb Bush,23
Sumter,MULBERRY,PRESIDENT,,REP,Jeb Bush,9
Sumter,SALTERSTOWN,PRESIDENT,,REP,Jeb Bush,19
Sumter,FOLSOM PARK,PRESIDENT,,REP,Jeb Bush,3
Sumter,GREEN SWAMP,PRESIDENT,,REP,Jeb Bush,32
Sumter,PALMETTO PARK,PRESIDENT,,REP,Jeb Bush,25
Sumter,BUNRS-DOWNS,PRESIDENT,,REP,Jeb Bush,32
Sumter,SECOND MILL,PRESIDENT,,REP,Jeb Bush,87
Sumter,SWAN LAKE,PRESIDENT,,REP,Jeb Bush,36
Sumter,MORRIS COLLEGE,PRESIDENT,,REP,Jeb Bush,10
Sumter,HAMPTON PARK,PRESIDENT,,REP,Jeb Bush,27
Sumter,CROSSWELL,PRESIDENT,,REP,Jeb Bush,10
Sumter,LORING,PRESIDENT,,REP,Jeb Bush,8
Sumter,LEMIRA,PRESIDENT,,REP,Jeb Bush,6
Sumter,MAGNOLIA-HARMONY,PRESIDENT,,REP,Jeb Bush,6
Sumter,STONE HILL,PRESIDENT,,REP,Jeb Bush,0
Sumter,SOUTH RED BAY,PRESIDENT,,REP,Jeb Bush,1
Sumter,WILDER,PRESIDENT,,REP,Jeb Bush,1
Sumter,POCOTALIGO 1,PRESIDENT,,REP,Jeb Bush,34
Sumter,SAVAGE-GLOVER,PRESIDENT,,REP,Jeb Bush,0
Sumter,BATES,PRESIDENT,,REP,Jeb Bush,1
Sumter,BIRNIE,PRESIDENT,,REP,Jeb Bush,0
Sumter,SOUTH LIBERTY,PRESIDENT,,REP,Jeb Bush,3
Sumter,MILLWOOD,PRESIDENT,,REP,Jeb Bush,18
Sumter,CAUSEWAY BRANCH 1,PRESIDENT,,REP,Jeb Bush,33
Sumter,MCCRAYS MILL 2,PRESIDENT,,REP,Jeb Bush,40
Sumter,SUMTER HIGH 1,PRESIDENT,,REP,Jeb Bush,11
Sumter,SUNSET,PRESIDENT,,REP,Jeb Bush,30
Sumter,DELAINE,PRESIDENT,,REP,Jeb Bush,15
Sumter,CHERRYVALE,PRESIDENT,,REP,Jeb Bush,11
Sumter,MANCHESTER FOREST,PRESIDENT,,REP,Jeb Bush,22
Sumter,PINEWOOD,PRESIDENT,,REP,Jeb Bush,18
Sumter,POCOTALIGO 2,PRESIDENT,,REP,Jeb Bush,18
Sumter,PRIVATEER,PRESIDENT,,REP,Jeb Bush,40
Sumter,EBENEZER 1,PRESIDENT,,REP,Jeb Bush,15
Sumter,WILSON HALL,PRESIDENT,,REP,Jeb Bush,71
Sumter,FURMAN,PRESIDENT,,REP,Jeb Bush,18
Sumter,SPECTRUM,PRESIDENT,,REP,Jeb Bush,5
Sumter,ST. PAUL,PRESIDENT,,REP,Jeb Bush,14
Sumter,SHAW,PRESIDENT,,REP,Jeb Bush,0
Sumter,THOMAS SUMTER,PRESIDENT,,REP,Jeb Bush,4
Sumter,SUMTER HIGH 2,PRESIDENT,,REP,Jeb Bush,21
Sumter,EBENEZER 2,PRESIDENT,,REP,Jeb Bush,25
Sumter,GREEN SWAMP 2,PRESIDENT,,REP,Jeb Bush,41
Sumter,CAUSEWAY BRANCH 2,PRESIDENT,,REP,Jeb Bush,24
Sumter,Absentee,PRESIDENT,,REP,Jeb Bush,234
Sumter,Emergency,PRESIDENT,,REP,Jeb Bush,0
Sumter,Failsafe,PRESIDENT,,REP,Jeb Bush,1
Sumter,Provisional,PRESIDENT,,REP,Jeb Bush,0
Sumter,Failsafe Provisional,PRESIDENT,,REP,Jeb Bush,0
Sumter,REMBERT,PRESIDENT,,REP,Ben Carson,7
Sumter,HORATIO,PRESIDENT,,REP,Ben Carson,6
Sumter,HILLCREST,PRESIDENT,,REP,Ben Carson,4
Sumter,OAKLAND PLANTATION 1,PRESIDENT,,REP,Ben Carson,13
Sumter,DALZELL 1,PRESIDENT,,REP,Ben Carson,17
Sumter,DALZELL 2,PRESIDENT,,REP,Ben Carson,13
Sumter,OSWEGO,PRESIDENT,,REP,Ben Carson,22
Sumter,MAYESVILLE,PRESIDENT,,REP,Ben Carson,5
Sumter,SALEM,PRESIDENT,,REP,Ben Carson,0
Sumter,OAKLAND PLANTATION 2,PRESIDENT,,REP,Ben Carson,14
Sumter,MCCRAYS MILL 1,PRESIDENT,,REP,Ben Carson,28
Sumter,ST.JOHN,PRESIDENT,,REP,Ben Carson,7
Sumter,MAYEWOOD,PRESIDENT,,REP,Ben Carson,23
Sumter,TURKEY CREEK,PRESIDENT,,REP,Ben Carson,16
Sumter,MULBERRY,PRESIDENT,,REP,Ben Carson,7
Sumter,SALTERSTOWN,PRESIDENT,,REP,Ben Carson,6
Sumter,FOLSOM PARK,PRESIDENT,,REP,Ben Carson,3
Sumter,GREEN SWAMP,PRESIDENT,,REP,Ben Carson,24
Sumter,PALMETTO PARK,PRESIDENT,,REP,Ben Carson,15
Sumter,BUNRS-DOWNS,PRESIDENT,,REP,Ben Carson,14
Sumter,SECOND MILL,PRESIDENT,,REP,Ben Carson,35
Sumter,SWAN LAKE,PRESIDENT,,REP,Ben Carson,24
Sumter,MORRIS COLLEGE,PRESIDENT,,REP,Ben Carson,3
Sumter,HAMPTON PARK,PRESIDENT,,REP,Ben Carson,12
Sumter,CROSSWELL,PRESIDENT,,REP,Ben Carson,8
Sumter,LORING,PRESIDENT,,REP,Ben Carson,3
Sumter,LEMIRA,PRESIDENT,,REP,Ben Carson,2
Sumter,MAGNOLIA-HARMONY,PRESIDENT,,REP,Ben Carson,1
Sumter,STONE HILL,PRESIDENT,,REP,Ben Carson,0
Sumter,SOUTH RED BAY,PRESIDENT,,REP,Ben Carson,0
Sumter,WILDER,PRESIDENT,,REP,Ben Carson,1
Sumter,POCOTALIGO 1,PRESIDENT,,REP,Ben Carson,23
Sumter,SAVAGE-GLOVER,PRESIDENT,,REP,Ben Carson,1
Sumter,BATES,PRESIDENT,,REP,Ben Carson,1
Sumter,BIRNIE,PRESIDENT,,REP,Ben Carson,2
Sumter,SOUTH LIBERTY,PRESIDENT,,REP,Ben Carson,4
Sumter,MILLWOOD,PRESIDENT,,REP,Ben Carson,16
Sumter,CAUSEWAY BRANCH 1,PRESIDENT,,REP,Ben Carson,29
Sumter,MCCRAYS MILL 2,PRESIDENT,,REP,Ben Carson,31
Sumter,SUMTER HIGH 1,PRESIDENT,,REP,Ben Carson,5
Sumter,SUNSET,PRESIDENT,,REP,Ben Carson,26
Sumter,DELAINE,PRESIDENT,,REP,Ben Carson,9
Sumter,CHERRYVALE,PRESIDENT,,REP,Ben Carson,2
Sumter,MANCHESTER FOREST,PRESIDENT,,REP,Ben Carson,22
Sumter,PINEWOOD,PRESIDENT,,REP,Ben Carson,14
Sumter,POCOTALIGO 2,PRESIDENT,,REP,Ben Carson,8
Sumter,PRIVATEER,PRESIDENT,,REP,Ben Carson,28
Sumter,EBENEZER 1,PRESIDENT,,REP,Ben Carson,18
Sumter,WILSON HALL,PRESIDENT,,REP,Ben Carson,60
Sumter,FURMAN,PRESIDENT,,REP,Ben Carson,30
Sumter,SPECTRUM,PRESIDENT,,REP,Ben Carson,9
Sumter,ST. PAUL,PRESIDENT,,REP,Ben Carson,11
Sumter,SHAW,PRESIDENT,,REP,Ben Carson,3
Sumter,THOMAS SUMTER,PRESIDENT,,REP,Ben Carson,3
Sumter,SUMTER HIGH 2,PRESIDENT,,REP,Ben Carson,18
Sumter,EBENEZER 2,PRESIDENT,,REP,Ben Carson,12
Sumter,GREEN SWAMP 2,PRESIDENT,,REP,Ben Carson,27
Sumter,CAUSEWAY BRANCH 2,PRESIDENT,,REP,Ben Carson,17
Sumter,Absentee,PRESIDENT,,REP,Ben Carson,53
Sumter,Emergency,PRESIDENT,,REP,Ben Carson,0
Sumter,Failsafe,PRESIDENT,,REP,Ben Carson,3
Sumter,Provisional,PRESIDENT,,REP,Ben Carson,0
Sumter,Failsafe Provisional,PRESIDENT,,REP,Ben Carson,0
Sumter,REMBERT,PRESIDENT,,REP,Ted Cruz,23
Sumter,HORATIO,PRESIDENT,,REP,Ted Cruz,9
Sumter,HILLCREST,PRESIDENT,,REP,Ted Cruz,27
Sumter,OAKLAND PLANTATION 1,PRESIDENT,,REP,Ted Cruz,57
Sumter,DALZELL 1,PRESIDENT,,REP,Ted Cruz,38
