county,precinct,office,district,party,candidate,votes,election_day
Oconee,Newry-Corinth,Governor,,DEM,Phil Noble,2,2
Oconee,Earles Grove,Governor,,DEM,Phil Noble,3,3
Oconee,Ravenel,Governor,,DEM,Phil Noble,23,23
Oconee,Fair Play,Governor,,DEM,Phil Noble,2,2
Oconee,Friendship,Governor,,DEM,Phil Noble,11,11
Oconee,Holly Springs,Governor,,DEM,Phil Noble,0,0
Oconee,Keowee,Governor,,DEM,Phil Noble,1,1
Oconee,Long Creek,Governor,,DEM,Phil Noble,1,1
Oconee,Mountain Rest,Governor,,DEM,Phil Noble,2,2
Oconee,Madison,Governor,,DEM,Phil Noble,1,1
Oconee,Bountyland,Governor,,DEM,Phil Noble,7,7
Oconee,Oakway,Governor,,DEM,Phil Noble,6,6
Oconee,Return,Governor,,DEM,Phil Noble,7,7
Oconee,Richland,Governor,,DEM,Phil Noble,0,0
Oconee,Salem,Governor,,DEM,Phil Noble,8,8
Oconee,Stamp Creek,Governor,,DEM,Phil Noble,19,19
Oconee,New Hope,Governor,,DEM,Phil Noble,4,4
Oconee,Shiloh,Governor,,DEM,Phil Noble,12,12
Oconee,South Union,Governor,,DEM,Phil Noble,2,2
Oconee,Tamassee,Governor,,DEM,Phil Noble,9,9
Oconee,Tokeena-Providence,Governor,,DEM,Phil Noble,5,5
Oconee,Utica,Governor,,DEM,Phil Noble,2,2
Oconee,Walhalla 1,Governor,,DEM,Phil Noble,13,13
Oconee,Walhalla 2,Governor,,DEM,Phil Noble,11,11
Oconee,Westminster 1,Governor,,DEM,Phil Noble,2,2
Oconee,Westminster 2,Governor,,DEM,Phil Noble,4,4
Oconee,West Union,Governor,,DEM,Phil Noble,8,8
Oconee,Seneca 1,Governor,,DEM,Phil Noble,19,19
Oconee,Seneca 2,Governor,,DEM,Phil Noble,12,12
Oconee,Seneca 3,Governor,,DEM,Phil Noble,5,5
Oconee,Seneca 4,Governor,,DEM,Phil Noble,21,21
Oconee,Absentee,Governor,,DEM,Phil Noble,29,29
Oconee,Emergency,Governor,,DEM,Phil Noble,0,0
Oconee,Failsafe,Governor,,DEM,Phil Noble,0,0
Oconee,Provisional,Governor,,DEM,Phil Noble,0,0
Oconee,Failsafe Provisional,Governor,,DEM,Phil Noble,0,0
Oconee,Newry-Corinth,Governor,,DEM,James Smith,7,7
Oconee,Earles Grove,Governor,,DEM,James Smith,5,5
Oconee,Ravenel,Governor,,DEM,James Smith,113,113
Oconee,Fair Play,Governor,,DEM,James Smith,9,9
Oconee,Friendship,Governor,,DEM,James Smith,48,48
Oconee,Holly Springs,Governor,,DEM,James Smith,5,5
Oconee,Keowee,Governor,,DEM,James Smith,22,22
Oconee,Long Creek,Governor,,DEM,James Smith,17,17
Oconee,Mountain Rest,Governor,,DEM,James Smith,26,26
Oconee,Madison,Governor,,DEM,James Smith,6,6
Oconee,Bountyland,Governor,,DEM,James Smith,40,40
Oconee,Oakway,Governor,,DEM,James Smith,20,20
Oconee,Return,Governor,,DEM,James Smith,6,6
Oconee,Richland,Governor,,DEM,James Smith,21,21
Oconee,Salem,Governor,,DEM,James Smith,31,31
Oconee,Stamp Creek,Governor,,DEM,James Smith,76,76
Oconee,New Hope,Governor,,DEM,James Smith,48,48
Oconee,Shiloh,Governor,,DEM,James Smith,38,38
Oconee,South Union,Governor,,DEM,James Smith,33,33
Oconee,Tamassee,Governor,,DEM,James Smith,23,23
Oconee,Tokeena-Providence,Governor,,DEM,James Smith,20,20
Oconee,Utica,Governor,,DEM,James Smith,20,20
Oconee,Walhalla 1,Governor,,DEM,James Smith,67,67
Oconee,Walhalla 2,Governor,,DEM,James Smith,28,28
Oconee,Westminster 1,Governor,,DEM,James Smith,27,27
Oconee,Westminster 2,Governor,,DEM,James Smith,23,23
Oconee,West Union,Governor,,DEM,James Smith,24,24
Oconee,Seneca 1,Governor,,DEM,James Smith,97,97
Oconee,Seneca 2,Governor,,DEM,James Smith,59,59
Oconee,Seneca 3,Governor,,DEM,James Smith,28,28
Oconee,Seneca 4,Governor,,DEM,James Smith,83,83
Oconee,Absentee,Governor,,DEM,James Smith,209,209
Oconee,Emergency,Governor,,DEM,James Smith,0,0
Oconee,Failsafe,Governor,,DEM,James Smith,0,0
Oconee,Provisional,Governor,,DEM,James Smith,0,0
Oconee,Failsafe Provisional,Governor,,DEM,James Smith,0,0
Oconee,Newry-Corinth,Governor,,DEM,Marguerite Willis,4,4
Oconee,Earles Grove,Governor,,DEM,Marguerite Willis,6,6
Oconee,Ravenel,Governor,,DEM,Marguerite Willis,25,25
Oconee,Fair Play,Governor,,DEM,Marguerite Willis,5,5
Oconee,Friendship,Governor,,DEM,Marguerite Willis,25,25
Oconee,Holly Springs,Governor,,DEM,Marguerite Willis,0,0
Oconee,Keowee,Governor,,DEM,Marguerite Willis,9,9
Oconee,Long Creek,Governor,,DEM,Marguerite Willis,8,8
Oconee,Mountain Rest,Governor,,DEM,Marguerite Willis,11,11
Oconee,Madison,Governor,,DEM,Marguerite Willis,0,0
Oconee,Bountyland,Governor,,DEM,Marguerite Willis,11,11
Oconee,Oakway,Governor,,DEM,Marguerite Willis,8,8
Oconee,Return,Governor,,DEM,Marguerite Willis,3,3
Oconee,Richland,Governor,,DEM,Marguerite Willis,10,10
Oconee,Salem,Governor,,DEM,Marguerite Willis,14,14
Oconee,Stamp Creek,Governor,,DEM,Marguerite Willis,36,36
Oconee,New Hope,Governor,,DEM,Marguerite Willis,9,9
Oconee,Shiloh,Governor,,DEM,Marguerite Willis,15,15
Oconee,South Union,Governor,,DEM,Marguerite Willis,13,13
Oconee,Tamassee,Governor,,DEM,Marguerite Willis,5,5
Oconee,Tokeena-Providence,Governor,,DEM,Marguerite Willis,7,7
Oconee,Utica,Governor,,DEM,Marguerite Willis,16,16
Oconee,Walhalla 1,Governor,,DEM,Marguerite Willis,35,35
Oconee,Walhalla 2,Governor,,DEM,Marguerite Willis,14,14
Oconee,Westminster 1,Governor,,DEM,Marguerite Willis,14,14
Oconee,Westminster 2,Governor,,DEM,Marguerite Willis,9,9
Oconee,West Union,Governor,,DEM,Marguerite Willis,15,15
Oconee,Seneca 1,Governor,,DEM,Marguerite Willis,53,53
Oconee,Seneca 2,Governor,,DEM,Marguerite Willis,29,29
Oconee,Seneca 3,Governor,,DEM,Marguerite Willis,14,14
Oconee,Seneca 4,Governor,,DEM,Marguerite Willis,49,49
Oconee,Absentee,Governor,,DEM,Marguerite Willis,58,58
Oconee,Emergency,Governor,,DEM,Marguerite Willis,0,0
Oconee,Failsafe,Governor,,DEM,Marguerite Willis,0,0
Oconee,Provisional,Governor,,DEM,Marguerite Willis,1,1
Oconee,Failsafe Provisional,Governor,,DEM,Marguerite Willis,1,1
Oconee,Newry-Corinth,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,1,1
Oconee,Earles Grove,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,4,4
Oconee,Ravenel,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,25,25
Oconee,Fair Play,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,0,0
Oconee,Friendship,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,31,31
