county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Greenville,Greenville 1,STRAIGHT PARTY 2,,UNC,United Citizens,4,0,0,0,0,0,4
Greenville,Greenville 3,STRAIGHT PARTY 2,,UNC,United Citizens,3,0,0,0,0,0,3
Greenville,Greenville 4,STRAIGHT PARTY 2,,UNC,United Citizens,5,0,0,0,3,0,2
Greenville,Greenville 5,STRAIGHT PARTY 2,,UNC,United Citizens,8,0,0,0,3,0,5
Greenville,Greenville 6,STRAIGHT PARTY 2,,UNC,United Citizens,2,0,0,0,0,0,2
Greenville,Greenville 7,STRAIGHT PARTY 2,,UNC,United Citizens,9,0,0,0,0,0,9
Greenville,Greenville 8,STRAIGHT PARTY 2,,UNC,United Citizens,12,0,1,0,2,0,9
Greenville,GREENVILLE 10,STRAIGHT PARTY 2,,UNC,United Citizens,2,0,0,0,0,0,2
Greenville,GREENVILLE 14,STRAIGHT PARTY 2,,UNC,United Citizens,7,0,1,0,0,0,6
Greenville,GREENVILLE 16,STRAIGHT PARTY 2,,UNC,United Citizens,0,0,0,0,0,0,0
Greenville,GREENVILLE 17,STRAIGHT PARTY 2,,UNC,United Citizens,2,0,2,0,0,0,0
Greenville,GREENVILLE 18,STRAIGHT PARTY 2,,UNC,United Citizens,1,0,0,0,0,0,1
Greenville,GREENVILLE 19,STRAIGHT PARTY 2,,UNC,United Citizens,6,0,0,0,0,0,6
Greenville,GREENVILLE 20,STRAIGHT PARTY 2,,UNC,United Citizens,3,0,0,0,0,0,3
Greenville,GREENVILLE 21,STRAIGHT PARTY 2,,UNC,United Citizens,0,0,0,0,0,0,0
Greenville,GREENVILLE 22,STRAIGHT PARTY 2,,UNC,United Citizens,8,0,0,0,0,0,8
Greenville,GREENVILLE 23,STRAIGHT PARTY 2,,UNC,United Citizens,2,0,1,0,1,0,0
Greenville,GREENVILLE 24,STRAIGHT PARTY 2,,UNC,United Citizens,13,0,0,0,3,0,10
