county,precinct,office,district,party,candidate,votes,failsafe,provisional,absentee_by_mail,failsafe_provisional,early_voting,election_day
Charleston,Awendaw,U.S. House,1,DEM,Mac Deford,19,0,0,0,0,4,15
Charleston,Christ Church,U.S. House,1,DEM,Mac Deford,13,0,0,0,0,5,8
Charleston,Isle Of Palms 1A,U.S. House,1,DEM,Mac Deford,11,0,0,0,0,2,9
Charleston,Isle of Palms 1B,U.S. House,1,DEM,Mac Deford,28,0,0,1,0,6,21
Charleston,Isle of Palms 1C,U.S. House,1,DEM,Mac Deford,37,0,0,2,0,9,26
Charleston,Sullivans Island,U.S. House,1,DEM,Mac Deford,31,0,0,1,0,2,28
Charleston,McClellanville,U.S. House,1,DEM,Mac Deford,33,0,0,4,0,2,27
Charleston,Edisto Island,U.S. House,1,DEM,Mac Deford,32,0,0,3,0,2,27
Charleston,Wadmalaw Island 1,U.S. House,1,DEM,Mac Deford,18,0,0,1,0,5,12
Charleston,Wadmalaw Island 2,U.S. House,1,DEM,Mac Deford,28,0,0,3,0,2,23
Charleston,Kiawah Island,U.S. House,1,DEM,Mac Deford,99,0,0,13,0,17,69
Charleston,Town of Seabrook,U.S. House,1,DEM,Mac Deford,92,0,0,2,0,7,83
Charleston,Folly Beach 1,U.S. House,1,DEM,Mac Deford,35,0,0,1,0,1,33
Charleston,Folly Beach 2,U.S. House,1,DEM,Mac Deford,39,0,0,5,0,2,32
Charleston,Mt. Pleasant 1,U.S. House,1,DEM,Mac Deford,30,0,0,0,0,4,26
Charleston,Mt. Pleasant 2,U.S. House,1,DEM,Mac Deford,22,0,0,0,0,4,18
Charleston,Mt. Pleasant 3,U.S. House,1,DEM,Mac Deford,43,0,0,2,0,3,38
Charleston,Mt. Pleasant 4,U.S. House,1,DEM,Mac Deford,24,0,0,2,0,3,19
Charleston,Mt. Pleasant 5,U.S. House,1,DEM,Mac Deford,21,0,0,2,0,4,15
Charleston,Mt. Pleasant 6,U.S. House,1,DEM,Mac Deford,27,0,0,1,0,3,23
Charleston,Mt. Pleasant 7,U.S. House,1,DEM,Mac Deford,22,0,0,2,0,4,16
Charleston,Mt. Pleasant 8,U.S. House,1,DEM,Mac Deford,17,0,0,0,0,5,12
Charleston,Mt. Pleasant 9,U.S. House,1,DEM,Mac Deford,17,0,0,0,0,5,12
Charleston,Mt. Pleasant 10,U.S. House,1,DEM,Mac Deford,20,0,0,1,0,6,13
Charleston,Mt. Pleasant 11,U.S. House,1,DEM,Mac Deford,33,0,0,0,0,6,27
Charleston,Mt. Pleasant 12,U.S. House,1,DEM,Mac Deford,85,0,0,9,0,18,58
Charleston,Mt. Pleasant 13,U.S. House,1,DEM,Mac Deford,11,0,0,0,0,1,10
Charleston,Mt. Pleasant 14,U.S. House,1,DEM,Mac Deford,17,0,0,0,0,4,13
Charleston,Mt. Pleasant 15,U.S. House,1,DEM,Mac Deford,66,0,0,2,0,6,58
Charleston,Mt. Pleasant 16,U.S. House,1,DEM,Mac Deford,20,0,0,0,0,0,20
Charleston,Mt. Pleasant 17,U.S. House,1,DEM,Mac Deford,49,0,0,3,0,7,39
Charleston,Mt. Pleasant 18,U.S. House,1,DEM,Mac Deford,18,0,0,0,0,4,14
Charleston,Mt. Pleasant 19,U.S. House,1,DEM,Mac Deford,29,0,0,1,0,9,19
Charleston,Mt. Pleasant 20,U.S. House,1,DEM,Mac Deford,44,0,0,2,0,8,34
Charleston,Mt. Pleasant 21,U.S. House,1,DEM,Mac Deford,53,0,0,6,0,20,27
Charleston,Mt. Pleasant 22,U.S. House,1,DEM,Mac Deford,42,0,0,2,0,16,24
Charleston,Mt. Pleasant 23,U.S. House,1,DEM,Mac Deford,33,0,0,2,0,15,16
Charleston,Mt. Pleasant 24,U.S. House,1,DEM,Mac Deford,15,0,0,0,0,8,7
Charleston,Mt. Pleasant 25,U.S. House,1,DEM,Mac Deford,22,0,0,1,0,5,16
Charleston,Mt. Pleasant 26,U.S. House,1,DEM,Mac Deford,17,0,0,1,0,4,12
Charleston,Mt. Pleasant 27,U.S. House,1,DEM,Mac Deford,46,0,0,0,0,8,38
Charleston,Mt. Pleasant 28,U.S. House,1,DEM,Mac Deford,20,0,0,1,0,4,15
Charleston,Mt. Pleasant 29,U.S. House,1,DEM,Mac Deford,5,0,0,1,0,1,3
Charleston,Mt. Pleasant 30,U.S. House,1,DEM,Mac Deford,59,0,0,1,0,13,45
Charleston,Mt. Pleasant 31,U.S. House,1,DEM,Mac Deford,31,0,0,2,0,12,17
Charleston,Mt. Pleasant 32,U.S. House,1,DEM,Mac Deford,39,0,0,2,0,15,22
Charleston,Mt. Pleasant 33,U.S. House,1,DEM,Mac Deford,88,0,0,1,0,40,47
Charleston,Mt. Pleasant 34,U.S. House,1,DEM,Mac Deford,28,0,0,5,0,12,11
Charleston,Mt. Pleasant 35,U.S. House,1,DEM,Mac Deford,111,0,0,9,0,47,55
Charleston,Mt. Pleasant 36,U.S. House,1,DEM,Mac Deford,27,0,0,0,0,7,20
Charleston,Mt. Pleasant 37,U.S. House,1,DEM,Mac Deford,65,0,0,4,0,25,36
Charleston,Mt. Pleasant 38,U.S. House,1,DEM,Mac Deford,36,0,0,3,0,18,15
Charleston,Mt. Pleasant 39,U.S. House,1,DEM,Mac Deford,79,0,0,6,0,41,32
Charleston,James Island 1A,U.S. House,1,DEM,Mac Deford,34,0,0,4,0,2,28
Charleston,James Island 1B,U.S. House,1,DEM,Mac Deford,25,0,0,0,0,8,17
Charleston,James Island 3,U.S. House,1,DEM,Mac Deford,20,0,0,1,0,2,17
Charleston,James Island 5A,U.S. House,1,DEM,Mac Deford,20,0,0,0,0,4,16
Charleston,James Island 5B,U.S. House,1,DEM,Mac Deford,17,0,0,0,0,2,15
Charleston,James Island 6,U.S. House,1,DEM,Mac Deford,32,0,0,0,0,2,30
Charleston,James Island 7,U.S. House,1,DEM,Mac Deford,47,0,0,2,0,15,30
Charleston,James Island 8A,U.S. House,1,DEM,Mac Deford,75,0,0,11,0,26,38
Charleston,James Island 8B,U.S. House,1,DEM,Mac Deford,26,0,0,1,0,7,18
Charleston,James Island 9,U.S. House,1,DEM,Mac Deford,28,0,0,0,0,2,26
Charleston,James Island 10,U.S. House,1,DEM,Mac Deford,26,0,0,0,0,4,22
Charleston,James Island 11,U.S. House,1,DEM,Mac Deford,34,0,0,8,0,2,24
Charleston,James Island 12,U.S. House,1,DEM,Mac Deford,24,0,0,5,0,0,19
Charleston,James Island 13,U.S. House,1,DEM,Mac Deford,28,0,0,3,0,4,21
Charleston,James Island 14,U.S. House,1,DEM,Mac Deford,17,0,0,1,0,3,13
Charleston,James Island 15,U.S. House,1,DEM,Mac Deford,25,0,0,2,0,4,19
