county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Lexington,BATESBURG,U.S. House,2,DEM,David Robinson II,40,0,2,0,11,0,27
Lexington,MIMS,U.S. House,2,DEM,David Robinson II,12,0,0,0,7,0,5
Lexington,LAKE MURRAY 1,U.S. House,2,DEM,David Robinson II,21,0,2,0,10,0,9
Lexington,MOUNT HOREB,U.S. House,2,DEM,David Robinson II,22,0,4,0,5,0,13
Lexington,OLD BARNWELL ROAD,U.S. House,2,DEM,David Robinson II,26,0,0,0,2,0,24
Lexington,BEULAH  CHURCH,U.S. House,2,DEM,David Robinson II,24,0,0,0,7,0,17
Lexington,GILBERT,U.S. House,2,DEM,David Robinson II,12,0,0,0,5,0,7
Lexington,POND BRANCH,U.S. House,2,DEM,David Robinson II,15,0,0,0,5,0,10
Lexington,SEVEN OAKS,U.S. House,2,DEM,David Robinson II,42,0,2,0,8,0,32
Lexington,RIDGE ROAD,U.S. House,2,DEM,David Robinson II,27,0,3,0,6,0,18
Lexington,SUMMIT,U.S. House,2,DEM,David Robinson II,4,0,0,0,3,0,1
Lexington,LEESVILLE,U.S. House,2,DEM,David Robinson II,47,0,4,0,16,0,27
Lexington,RED BANK SOUTH 1,U.S. House,2,DEM,David Robinson II,7,0,0,0,2,0,5
Lexington,EMMANUEL CHURCH,U.S. House,2,DEM,David Robinson II,22,0,3,0,5,0,14
Lexington,HOLLOW CREEK,U.S. House,2,DEM,David Robinson II,11,0,0,0,5,0,6
Lexington,BOILING SPRINGS,U.S. House,2,DEM,David Robinson II,17,0,2,0,2,0,13
Lexington,EDMUND 1,U.S. House,2,DEM,David Robinson II,18,0,0,0,3,0,15
Lexington,RED BANK,U.S. House,2,DEM,David Robinson II,49,0,0,0,18,0,31
Lexington,ROUND HILL,U.S. House,2,DEM,David Robinson II,23,0,0,0,13,0,10
Lexington,FAIRVIEW,U.S. House,2,DEM,David Robinson II,9,0,0,0,3,0,6
Lexington,QUAIL HOLLOW,U.S. House,2,DEM,David Robinson II,68,0,6,0,23,0,39
