county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_by_mail,provisional,failsafe_provisional,failsafe
Calhoun,Bethel,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Cameron,Straight Party,,CON,Constitution,1,1,0,0,0,0,0
Calhoun,Center Hill,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Creston,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Dixie,Straight Party,,CON,Constitution,1,1,0,0,0,0,0
Calhoun,Fall Branch,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Fort Motte,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Lone Star,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Midway,Straight Party,,CON,Constitution,1,1,0,0,0,0,0
Calhoun,Murph Hill,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Sandy Run,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,St. Matthews,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Failsafe,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Provisional,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Failsafe Provisional,Straight Party,,CON,Constitution,0,0,0,0,0,0,0
Calhoun,Bethel,Straight Party,,UNC,United Citizens,1,0,1,0,0,0,0
Calhoun,Cameron,Straight Party,,UNC,United Citizens,1,1,0,0,0,0,0
Calhoun,Center Hill,Straight Party,,UNC,United Citizens,2,2,0,0,0,0,0
Calhoun,Creston,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Dixie,Straight Party,,UNC,United Citizens,4,3,1,0,0,0,0
Calhoun,Fall Branch,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Fort Motte,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Lone Star,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Midway,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Murph Hill,Straight Party,,UNC,United Citizens,1,1,0,0,0,0,0
Calhoun,Sandy Run,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,St. Matthews,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Failsafe,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
